,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__class_weight,param_clf__max_depth,param_clf__n_estimators,param_tfidf__min_df,param_tfidf__sublinear_tf,params,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted
55,84.42695605754852,3.3744747490290794,20.97191160917282,0.8179086453499074,balanced,64,50,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.48077861811974093,0.4734296163724654,0.4608561861349518,0.4874262499476835,0.4756226676437104,0.009858585478464528,21,0.4908315239915234,0.47577315943562726,0.45124972082162496,0.5235480867125623,0.48535062274033447,0.026190102364525916,23,0.5621162999241223,0.5680501601581135,0.5601819936577968,0.5354727398205659,0.5564552983901496,0.01245636162297951,132
133,95.21569323539734,1.253708932105838,25.737934231758118,14.456716843439116,balanced_subsample,64,100,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.47998055050295424,0.473128561724756,0.4602610024996421,0.48895636481430516,0.47558161988541436,0.010475843688119114,22,0.49753772314087974,0.47774901008352694,0.4534894951602776,0.5221998142327654,0.48774401065436235,0.02528038306991981,21,0.5632889563357936,0.5683909221018196,0.5585275058596443,0.5420979986197377,0.5580763457292488,0.009862465676699952,127
138,103.66544026136398,19.460344300507145,17.923271238803864,13.35874055981045,balanced_subsample,64,200,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 64, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.47716673679327665,0.47443546747495435,0.4627963365179913,0.4865973739570209,0.4752489786858108,0.008488138324160378,23,0.4970154150559747,0.48012660080822567,0.47427502978659714,0.5185203428891247,0.49248434713498057,0.01719517944065311,19,0.5582534317444988,0.5688679888230083,0.5602509306493865,0.5410628019323671,0.5571087882873151,0.010086324189334542,130
67,81.44249480962753,3.5919663627790106,22.573554396629333,2.2094387797521673,balanced,64,200,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': 64, 'clf__n_estimators': 200, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.47924307146588174,0.471750881610178,0.4615065674243985,0.48667657517567015,0.47479427391903206,0.009311367560668492,24,0.4950109415921443,0.4728553119518993,0.47603799561769305,0.5199330273030179,0.4909593191161886,0.018750282538768617,20,0.5609436435124509,0.5706399509302801,0.560802426582104,0.5400276052449966,0.5581034065674579,0.011171964833381653,126
36,84.50238859653473,3.227472994676709,24.81158310174942,1.985702781292119,balanced,32,50,0.01,True,"{'clf__class_weight': 'balanced', 'clf__max_depth': 32, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.47523667976718265,0.47142069976247347,0.46189039143551486,0.46838776550424255,0.4692338841173534,0.004885143799189019,25,0.44970574281716674,0.47474912560210436,0.45528516072598874,0.46545294543611826,0.4612982436453445,0.009601185005395125,27,0.6416499965510105,0.6367477680092687,0.6167792637529298,0.6277432712215321,0.6307300748836853,0.00947369314333745,109
109,54.01714366674423,1.2261397570023664,10.329543590545654,1.6560930075635074,balanced_subsample,32,50,0.01,False,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 32, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.47324119564886663,0.47127138500926025,0.4612971615428527,0.46836263389588717,0.4685430940242167,0.0045291233687384394,26,0.4427706592464741,0.47449768151001065,0.43758796541973116,0.4863402667436151,0.4602991432299578,0.020632401407923027,31,0.6379250879492309,0.6321815579636066,0.6199503653660554,0.6187715665976535,0.6272071444691366,0.008115400776197554,114
108,58.991001546382904,1.9472617816737727,10.19614440202713,1.0809139206701852,balanced_subsample,32,50,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 32, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.47390836481464943,0.46577961572516546,0.4631580324325662,0.46832849404762367,0.46779362675500114,0.003975584224655525,27,0.4409816303815937,0.4793801141283201,0.4440584316131745,0.4798411067578874,0.4610653207202439,0.01857788129490838,29,0.6387528454162931,0.6291828528589927,0.620915483248311,0.6213940648723257,0.6275613115989807,0.0072470992799872815,112
37,82.86944621801376,1.6182467605061308,25.729003727436066,0.764138863978374,balanced,32,50,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': 32, 'clf__n_estimators': 50, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.4734925342269101,0.46893955812330995,0.4560820687186054,0.47143144536817255,0.4674864016092495,0.006778780712925586,28,0.44337270681175667,0.47188957454668823,0.4340138191365124,0.4835945457065519,0.45821766155037735,0.020230584045211743,32,0.635165896392357,0.631091119743747,0.6126430442575486,0.6240855762594893,0.6257464091632855,0.008540333843515253,117
114,62.62038338184357,0.517219377613983,11.496969759464264,3.014407086506079,balanced_subsample,32,100,0.01,True,"{'clf__class_weight': 'balanced_subsample', 'clf__max_depth': 32, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': True}",0.4746620230630737,0.4678819361075212,0.4561456768581775,0.464903075598931,0.46589817790692584,0.006649093619219472,29,0.4506562049882469,0.47221526070138825,0.4377390044852274,0.4645925966387561,0.45630076670340464,0.013213872033671881,34,0.6384769262606056,0.625366319089484,0.6117468633668827,0.6298826777087647,0.6263681966064343,0.009666437496790543,116
43,69.95501309633255,2.968182204251345,20.65675950050354,1.477358435600561,balanced,32,100,0.01,False,"{'clf__class_weight': 'balanced', 'clf__max_depth': 32, 'clf__n_estimators': 100, 'tfidf__min_df': 0.01, 'tfidf__sublinear_tf': False}",0.47241042150522106,0.4672198825071365,0.45445807162328655,0.46835980361869206,0.465612044813584,0.006722431927344547,30,0.4472254268278954,0.4644743523831787,0.4445778267490763,0.4692887374277872,0.4563915858469844,0.010668305968656169,33,0.6350969166034351,0.6294554624139576,0.6124362332827795,0.6340234644582471,0.6277530191896048,0.009093315629345115,111
